date,score,model_id,rank,date_dt,days
2024-05-13,0.045,GPT-4o,1,2024-05-13,0
2024-09-12,0.14,o1-mini,1,2024-09-12,122
2025-01-20,0.158,Deepseek R1,1,2025-01-20,252
2025-01-31,0.345,o3-mini (High),1,2025-01-31,263
2025-01-31,0.223,o3-mini (Medium),2,2025-01-31,263
2025-02-17,0.165,Grok 3 Mini (Low),3,2025-02-17,280
2025-02-24,0.286,Claude 3.7 (16K),2,2025-02-24,287
2025-04-16,0.608,o3 (High),1,2025-04-16,338
2025-04-16,0.5870000000000001,o4-mini (High),2,2025-04-16,338
2025-04-16,0.5379999999999999,o3 (Medium),3,2025-04-16,338
2025-06-10,0.593,o3-Pro (High),2,2025-06-10,393
2025-08-07,0.7020000000000001,GPT-5 Pro,1,2025-08-07,451
2025-08-07,0.657,GPT-5 (High),2,2025-08-07,451
2025-09-29,0.637,Claude Sonnet 4.5 (Thinking 32K),3,2025-09-29,504
2025-11-03,0.7709999999999999,Grok 4 (Refine.),1,2025-11-03,539
2025-11-12,0.728,"GPT-5.1 (Thinking, High)",2,2025-11-12,548
2025-11-18,0.75,Gemini 3 Pro,2,2025-11-18,554
2025-11-24,0.8,"Opus 4.5 (Thinking, 64K)",1,2025-11-24,560
2025-11-24,0.758,"Opus 4.5 (Thinking, 32K)",3,2025-11-24,560
2025-12-11,0.905,GPT-5.2 Pro (X-High),1,2025-12-11,577
2025-12-11,0.862,GPT-5.2 (X-High),2,2025-12-11,577
2025-12-11,0.857,GPT-5.2 Pro (High),3,2025-12-11,577
