date,score,model_id,rank,date_dt,days
2024-02-15,0.008,Gemini 1.5 Pro,1,2024-02-15,0
2024-05-13,0.0,GPT-4o,2,2024-05-13,88
2024-07-18,0.0,GPT-4o-mini,2,2024-07-18,154
2024-09-12,0.008,o1-mini,1,2024-09-12,210
2025-01-20,0.013,Deepseek R1,1,2025-01-20,340
2025-01-31,0.03,o3-mini (High),1,2025-01-31,351
2025-01-31,0.021,o3-mini (Medium),2,2025-01-31,351
2025-02-05,0.013,Gemini 2.0 Flash,3,2025-02-05,356
2025-04-16,0.03,o3 (Medium),3,2025-04-16,426
2025-04-16,0.061,o4-mini (High),2,2025-04-16,426
2025-04-16,0.065,o3 (High),1,2025-04-16,426
2025-05-22,0.086,Claude Opus 4 (Thinking 16K),1,2025-05-22,462
2025-08-07,0.183,GPT-5 Pro,1,2025-08-07,539
2025-08-07,0.099,GPT-5 (High),2,2025-08-07,539
2025-09-29,0.136,Claude Sonnet 4.5 (Thinking 32K),2,2025-09-29,592
2025-11-03,0.26,Grok 4 (Refine.),1,2025-11-03,627
2025-11-12,0.176,"GPT-5.1 (Thinking, High)",3,2025-11-12,636
2025-11-18,0.311,Gemini 3 Pro,1,2025-11-18,642
2025-11-24,0.306,"Opus 4.5 (Thinking, 32K)",3,2025-11-24,648
2025-11-24,0.376,"Opus 4.5 (Thinking, 64K)",1,2025-11-24,648
2025-12-11,0.529,GPT-5.2 (X-High),2,2025-12-11,665
2025-12-11,0.542,GPT-5.2 Pro (High),1,2025-12-11,665
2025-12-11,0.433,GPT-5.2 (High),3,2025-12-11,665
