date,score,model_id,rank,date_dt,days
2024-09-12,0.18,o1-preview-2024-09-12,1,2024-09-12,0
2024-09-12,0.14,o1-mini-2024-09-12_medium,2,2024-09-12,0
2024-12-17,0.272,o1-2024-12-17_low,2,2024-12-17,96
2024-12-17,0.307,o1-2024-12-17_medium,1,2024-12-17,96
2025-01-31,0.345,o3-mini-2025-01-31_high,1,2025-01-31,141
2025-02-24,0.286,claude-3-7-sonnet-20250219_16K,3,2025-02-24,165
2025-04-09,0.33,gemini-2.5-pro-preview-03-25,2,2025-04-09,209
2025-04-16,0.587,o4-mini-2025-04-16_high,2,2025-04-16,216
2025-04-16,0.608,o3-2025-04-16_high,1,2025-04-16,216
2025-04-16,0.538,o3-2025-04-16_medium,3,2025-04-16,216
2025-06-10,0.593,o3-pro-2025-06-10_high,2,2025-06-10,271
2025-08-07,0.657,gpt-5-2025-08-07_high,1,2025-08-07,329
2025-10-07,0.702,gpt-5-pro-2025-10-06_high,1,2025-10-07,390
2025-11-13,0.728,gpt-5.1_high,1,2025-11-13,427
2025-11-18,0.75,gemini-3-pro-preview,1,2025-11-18,432
