date,score,model_id,rank,date_dt,days
2019-11-05,0.25,gpt2-xl,1,2019-11-05,0
2021-03-21,0.274,GPT-Neo-2.7B,1,2021-03-21,502
2021-08-05,0.363,gpt-j-6b,1,2021-08-05,639
2021-12-13,0.52,GLaM (64B/64E) (3-shot),1,2021-12-13,769
2021-12-13,0.503,GLaM (64B/64E) (One-shot),2,2021-12-13,769
2021-12-13,0.48,GLaM (64B/64E) (Zero-shot),3,2021-12-13,769
2022-01-27,0.514,text-davinci-001,2,2022-01-27,814
2022-03-15,0.852,text-davinci-002,1,2022-03-15,861
2022-04-04,0.601,PaLM 540B,2,2022-04-04,881
2022-04-04,0.525,PaLM 62B,3,2022-04-04,881
2023-02-24,0.695,LLaMA-65B,2,2023-02-24,1207
2023-02-24,0.675,LLaMA-33B,3,2023-02-24,1207
2023-03-15,0.963,GPT-4,1,2023-03-15,1226
2023-07-20,0.861,StableBeluga2,2,2023-07-20,1353
2023-08-09,0.863,claude-instant-1.2,2,2023-08-09,1373
2023-11-06,0.874,gpt-3.5-turbo-1106,2,2023-11-06,1462
2024-04-23,0.916,Phi-3-medium-128k-instruct,2,2024-04-23,1631
2024-04-23,0.907,Phi-3-small-8k-instruct,3,2024-04-23,1631
2024-05-07,0.922,DeepSeek-V2,2,2024-05-07,1645
2024-07-23,0.953,Llama-3.1-405B,2,2024-07-23,1722
2024-09-19,0.945,Qwen2.5-72B,3,2024-09-19,1780
2024-12-26,0.953,DeepSeek-V3,3,2024-12-26,1878
