date,score,model_id,rank,date_dt,days
2024-09-12,0.18,recldkOShqz5UyF6y,1,2024-09-12,0
2024-09-12,0.14,recFBJ7nvDJdSa72l,2,2024-09-12,0
2024-12-17,0.272,recgESVAS5tuZC0Hv,2,2024-12-17,96
2024-12-17,0.307,receX5UgjFSC6bHhJ,1,2024-12-17,96
2025-01-31,0.345,recRZCrSqXDNzFtUh,1,2025-01-31,141
2025-02-24,0.286,recNoXmCMotXLds1L,3,2025-02-24,165
2025-04-09,0.33,recUAV9rVPbCJKlng,2,2025-04-09,209
2025-04-16,0.538,recFdkH1oECir5L8f,3,2025-04-16,216
2025-04-16,0.587,recrvtjPTqUld84O1,2,2025-04-16,216
2025-04-16,0.608,recwnrbrLEV1CEWNU,1,2025-04-16,216
2025-06-10,0.593,recAFpg6FQiOzXWJy,2,2025-06-10,271
