date,score,model_id,rank,date_dt,days
2019-11-05,0.25,recg6ZntBt4LeoVMt,1,2019-11-05,0
2021-08-05,0.363,recxwTLjMWqaV2sD7,1,2021-08-05,639
2022-01-27,0.532,recShfp3NCaoaTiRM,1,2022-01-27,814
2022-03-15,0.852,recCV3fjy0woa6qRp,1,2022-03-15,861
2022-04-04,0.852,recQRtEcEnhW9JjQq,1,2022-04-04,881
2023-02-24,0.695,rec4GzBp6CBydS2Wm,3,2023-02-24,1207
2023-07-05,0.695,recS0EoMsBQ3OncKY,3,2023-07-05,1338
2023-07-18,0.783,recgtNZI9vmAkWZp6,3,2023-07-18,1351
2023-07-20,0.861,recQzAdH65teVa2Uj,1,2023-07-20,1353
2023-08-09,0.863,recDLKzSl6soGHAp4,1,2023-08-09,1373
2023-11-06,0.874,recl5mruRvTitZtCx,1,2023-11-06,1462
2023-12-11,0.873,rec9KBarEBzPWVIGW,2,2023-12-11,1497
2024-04-23,0.916,recnoDbSqlDbhRL8j,1,2024-04-23,1631
2024-04-23,0.907,recMSacEe7PMOnKdX,2,2024-04-23,1631
2024-05-07,0.922,recGWNIgKpoEsuG5i,1,2024-05-07,1645
2024-07-23,0.953,recCJLnPu5EFxJvrH,1,2024-07-23,1722
2024-09-19,0.945,recgiKxUSiP3AsCOB,2,2024-09-19,1780
2024-12-26,0.953,rec9frsexPiviWPFG,1,2024-12-26,1878
