date,score,model_id,rank,date_dt,days
2022-01-27,0.354,text-davinci-001,1,2022-01-27,0
2022-01-28,0.366,Megatron-Turing NLG 530B,1,2022-01-28,1
2023-09-27,0.471,Mistral-7B-v0.1,1,2023-09-27,608
2023-11-06,0.581,gpt-3.5-turbo-1106,1,2023-11-06,648
2023-12-11,0.552,Mixtral-8x7B-v0.1,2,2023-12-11,683
2024-02-21,0.487,gemma-7b,3,2024-02-21,755
2024-04-18,0.573,Meta-Llama-3-8B-Instruct,2,2024-04-18,812
2024-04-23,0.558,Phi-3-medium-128k-instruct,3,2024-04-23,817
2024-04-23,0.581,Phi-3-small-8k-instruct,1,2024-04-23,817
2025-03-24,0.873,UNICORN,1,2025-03-24,1152
