date,score,model_id,rank,date_dt,days
2024-03-26,0.102,recmHnmIrPWygYqPv,1,2024-03-26,0
2024-08-06,0.231,rec919QgwS5y17hFV,1,2024-08-06,133
2024-09-06,0.178,recaN51EoQSgLwBdT,2,2024-09-06,164
2024-10-22,0.28,rec6lx4bW0aLNpYrY,2,2024-10-22,210
2024-10-22,0.516,recOUfsKC9bkcotH7,1,2024-10-22,210
2024-12-06,0.382,recghgPHbSu7RuItj,2,2024-12-06,255
2024-12-17,0.617,rec35V8M8ztYVkdrn,1,2024-12-17,266
2024-12-26,0.484,rec9frsexPiviWPFG,3,2024-12-26,275
2025-01-20,0.569,recyBRyCkiovMHdDw,2,2025-01-20,300
2025-01-31,0.604,recRZCrSqXDNzFtUh,2,2025-01-31,311
2025-02-24,0.649,reclTDeB8ZudNkHEu,1,2025-02-24,335
2025-02-24,0.604,recSYamjLFTjhxST2,3,2025-02-24,335
2025-03-25,0.7290000000000001,rechC8urIV2AN5s7u,1,2025-03-25,364
2025-04-16,0.7959999999999999,recwnrbrLEV1CEWNU,1,2025-04-16,386
2025-04-16,0.769,recFdkH1oECir5L8f,2,2025-04-16,386
2025-05-06,0.769,rectqTvrbGyp36qKB,2,2025-05-06,406
2025-06-05,0.7909999999999999,recmGCSEixdFEeMjm,2,2025-06-05,436
2025-06-10,0.8490000000000001,recAFpg6FQiOzXWJy,1,2025-06-10,441
2025-07-09,0.7959999999999999,recMlollg5Ye5aSq1,2,2025-07-09,470
2025-08-07,0.88,recdH1BK7RYkIrKYh,1,2025-08-07,499
2025-08-07,0.867,recPs1KpCfWyKSaXK,2,2025-08-07,499
