date,score,model_id,rank,date_dt,days
2024-03-26,0.102,openhands-lm-32b-v0.1,1,2024-03-26,0
2024-07-18,0.036,gpt-4o-mini-2024-07-18,2,2024-07-18,114
2024-08-06,0.231,gpt-4o-2024-08-06,1,2024-08-06,133
2024-09-06,0.178,DeepSeek-V2.5,2,2024-09-06,164
2024-10-22,0.28,claude-3-5-haiku-20241022,2,2024-10-22,210
2024-10-22,0.516,claude-3-5-sonnet-20241022,1,2024-10-22,210
2024-12-06,0.382,gemini-exp-1206,2,2024-12-06,255
2024-12-17,0.617,o1-2024-12-17_high,1,2024-12-17,266
2024-12-26,0.484,DeepSeek-V3,3,2024-12-26,275
2025-01-20,0.569,DeepSeek-R1,2,2025-01-20,300
2025-01-31,0.604,o3-mini-2025-01-31_high,2,2025-01-31,311
2025-02-24,0.604,claude-3-7-sonnet-20250219,3,2025-02-24,335
2025-02-24,0.649,claude-3-7-sonnet-20250219_32K,1,2025-02-24,335
2025-03-25,0.7290000000000001,gemini-2.5-pro-exp-03-25,1,2025-03-25,364
2025-04-16,0.813,o3-2025-04-16_high,1,2025-04-16,386
2025-04-16,0.769,o3-2025-04-16_medium,2,2025-04-16,386
2025-05-06,0.769,gemini-2.5-pro-preview-05-06,2,2025-05-06,406
2025-06-05,0.7909999999999999,gemini-2.5-pro-preview-06-05,3,2025-06-05,436
2025-06-05,0.831,gemini-2.5-pro-preview-06-05_32K,1,2025-06-05,436
2025-06-10,0.8490000000000001,o3-pro-2025-06-10_high,1,2025-06-10,441
2025-08-07,0.88,gpt-5-2025-08-07_high,1,2025-08-07,499
2025-08-07,0.867,gpt-5-2025-08-07_medium,2,2025-08-07,499
