date,score,model_id,rank,date_dt,days
2023-02-24,0.584,LLaMA-65B,1,2023-02-24,0
2023-02-24,0.5,LLaMA-33B,2,2023-02-24,0
2023-02-24,0.3789,LLaMA-13B,3,2023-02-24,0
2023-04-12,0.4304,vicuna-13b-v1.1,3,2023-04-12,47
2023-06-13,0.6159,gpt-3.5-turbo-0613,2,2023-06-13,109
2023-06-13,0.7512,gpt-4-0613,1,2023-06-13,109
2023-07-18,0.649,Llama-2-70b-hf,2,2023-07-18,144
2023-07-20,0.693,StableBeluga2,2,2023-07-20,146
2024-04-23,0.814,Phi-3-medium-128k-instruct,1,2024-04-23,424
2024-04-23,0.791,Phi-3-small-8k-instruct,2,2024-04-23,424
2024-05-07,0.788,DeepSeek-V2,3,2024-05-07,438
2024-07-23,0.829,Llama-3.1-405B,1,2024-07-23,515
2024-09-19,0.798,Qwen2.5-72B,3,2024-09-19,573
2024-12-26,0.829,DeepSeek-V3,1,2024-12-26,671
