date,score,model_id,rank,date_dt,days
2024-05-13,0.323,gpt-4o-2024-05-13,1,2024-05-13,0
2024-07-18,0.176,Mistral-Nemo-Instruct-2407,2,2024-07-18,66
2024-07-18,0.174,gpt-4o-mini-2024-07-18,3,2024-07-18,66
2024-07-23,0.279,Llama-3.1-70B-Instruct,2,2024-07-23,71
2024-09-24,0.273,Llama-3.2-90B-Vision-Instruct,3,2024-09-24,134
2024-10-22,0.326,claude-3-5-sonnet-20241022,1,2024-10-22,162
2025-01-20,0.349,DeepSeek-R1,1,2025-01-20,252
2025-03-25,0.433,gemini-2.5-pro-exp-03-25,1,2025-03-25,316
2025-06-17,0.335,gemini-2.5-flash,3,2025-06-17,400
2025-07-09,0.436,grok-4-0709,1,2025-07-09,422
