date,score,model_id,rank,date_dt,days
2023-12-11,0.0139999999999999,Mixtral 8x7b,1,2023-12-11,0
2023-12-12,0.01,Gemini 1.0 Pro,2,2023-12-12,1
2024-02-24,0.024,Mistral Large 2402,1,2024-02-24,75
2024-02-29,0.026,Claude 3.0 Sonnet,1,2024-02-29,80
2024-02-29,0.025,Claude 3.0 Opus,2,2024-02-29,80
2024-04-09,0.104,GPT 4 Turbo,1,2024-04-09,120
2024-05-13,0.171,GPT 4o,1,2024-05-13,154
2024-05-23,0.068,Gemini 1.5 Pro,3,2024-05-23,164
2024-07-24,0.095,Mistral Large 2407,3,2024-07-24,226
2024-08-13,0.119,Grok 2.0 Beta,2,2024-08-13,246
2024-09-12,0.324,o1 Preview,1,2024-09-12,276
2024-10-22,0.239,Claude 3.5 Sonnet V2,2,2024-10-22,316
2024-12-05,0.318,o1,2,2024-12-05,360
2025-01-31,0.258,o3 Mini,3,2025-01-31,417
2025-02-19,0.374,Claude 3.7 Sonnet V1 - Reasoning 16000,1,2025-02-19,436
2025-04-16,0.412,o3,1,2025-04-16,492
2025-04-16,0.3989999999999999,o4 Mini,2,2025-04-16,492
