date,score,model_id,rank,date_dt,days
2019-11-05,0.618,recg6ZntBt4LeoVMt,1,2019-11-05,0
2021-08-05,0.654,recxwTLjMWqaV2sD7,1,2021-08-05,639
2021-12-08,0.794,rec1ierxC1o8k7tZX,1,2021-12-08,764
2022-01-27,0.775,recShfp3NCaoaTiRM,2,2022-01-27,814
2022-01-28,0.8483,recyWDdAm34KJ0nYp,1,2022-01-28,815
2022-03-15,0.877,recCV3fjy0woa6qRp,1,2022-03-15,861
2022-03-29,0.837,rec6zMMGInyTgmoYM,3,2022-03-29,875
2022-04-04,0.887,recQRtEcEnhW9JjQq,1,2022-04-04,881
2022-11-28,0.881,rec0DLyWBFR5oVxIP,2,2022-11-28,1119
2023-05-17,0.886,recGIZ8azSAyfdiWC,3,2023-05-17,1289
2023-05-17,0.909,recuJ50t0Ne2hd19L,1,2023-05-17,1289
2023-06-22,0.897,rec1oBsYRw31Gq15p,2,2023-06-22,1325
2023-07-20,0.894,recQzAdH65teVa2Uj,3,2023-07-20,1353
