date,score,model_id,rank,date_dt,days
2024-03-07,0.12,recRI8GPlhOr2iqK4,1,2024-03-07,0
2024-08-06,0.26,rec919QgwS5y17hFV,1,2024-08-06,152
2024-09-24,0.34,recLHXiwRty7lOPtS,1,2024-09-24,201
2024-10-22,0.32,rec6lx4bW0aLNpYrY,3,2024-10-22,229
2024-10-22,0.48,recOUfsKC9bkcotH7,1,2024-10-22,229
2024-12-17,0.56,receX5UgjFSC6bHhJ,1,2024-12-17,285
2025-01-31,0.54,recdlwAyv9wirNu8l,2,2025-01-31,330
2025-02-24,0.54,recSYamjLFTjhxST2,2,2025-02-24,354
2025-04-09,0.64,recUAV9rVPbCJKlng,1,2025-04-09,398
2025-04-16,0.74,recFdkH1oECir5L8f,1,2025-04-16,405
2025-04-16,0.62,recdf2Hygkz5XCGlk,3,2025-04-16,405
