date,score,model_id,rank,date_dt,days
2024-02-29,0.1,claude-3-opus-20240229,1,2024-02-29,0
2024-04-17,0.075,Mixtral-8x22B-Instruct-v0.1,2,2024-04-17,48
2024-04-18,0.05,Meta-Llama-3-70B-Instruct,3,2024-04-18,49
2024-05-24,0.075,gemini-1.5-pro-001,2,2024-05-24,85
2024-06-20,0.175,claude-3-5-sonnet-20240620,1,2024-06-20,112
2024-07-23,0.075,Llama-3.1-405B-Instruct,3,2024-07-23,145
2024-09-12,0.1,o1-mini-2024-09-12_medium,2,2024-09-12,196
2024-09-12,0.1,o1-preview-2024-09-12,2,2024-09-12,196
2024-11-20,0.125,gpt-4o-2024-11-20,2,2024-11-20,265
2025-01-31,0.225,o3-mini-2025-01-31_medium,1,2025-01-31,337
2025-02-24,0.2,claude-3-7-sonnet-20250219,2,2025-02-24,361
2025-02-27,0.175,gpt-4.5-preview-2025-02-27,3,2025-02-27,364
2025-05-22,0.38,claude-opus-4-20250514,1,2025-05-22,448
2025-05-22,0.35,claude-sonnet-4-20250514,2,2025-05-22,448
2025-08-05,0.38,claude-opus-4-1-20250805,1,2025-08-05,523
2025-09-29,0.55,claude-sonnet-4-5-20250929,1,2025-09-29,578
