date,score,model_id,rank,date_dt,days
2024-02-29,0.1,reclqXrYxgZTpBab8,1,2024-02-29,0
2024-05-24,0.075,rec5qoiwKAqRrwXob,2,2024-05-24,85
2024-06-20,0.175,recOrtz5RizjzMdyj,1,2024-06-20,112
2024-07-23,0.075,recILmCZY521YFbeS,3,2024-07-23,145
2024-09-12,0.1,recFBJ7nvDJdSa72l,2,2024-09-12,196
2024-09-12,0.1,recldkOShqz5UyF6y,2,2024-09-12,196
2024-11-20,0.125,recXAxE8fbzwd4E88,2,2024-11-20,265
2025-01-31,0.225,recdlwAyv9wirNu8l,1,2025-01-31,337
2025-02-24,0.2,recSYamjLFTjhxST2,2,2025-02-24,361
2025-02-27,0.175,recirLSEw2XiQuFjQ,3,2025-02-27,364
