date,score,model_id,rank,date_dt,days
2025-02-24,0.462,claude-3-7-sonnet-20250219_2K,1,2025-02-24,0
2025-04-16,0.484,o3-2025-04-16_medium,1,2025-04-16,51
2025-05-22,0.503,claude-opus-4-20250514_2K,1,2025-05-22,87
2025-05-22,0.497,claude-sonnet-4-20250514_2K,2,2025-05-22,87
2025-07-09,0.503,grok-4-0709,1,2025-07-09,135
2025-08-05,0.506,claude-opus-4-1-20250805,1,2025-08-05,162
2025-08-07,0.51,gpt-5-2025-08-07_high,3,2025-08-07,164
2025-08-07,0.536,gpt-5-2025-08-07_low,1,2025-08-07,164
2025-08-07,0.515,gpt-5-2025-08-07_minimal,2,2025-08-07,164
2025-09-29,0.534,claude-sonnet-4-5-20250929_2K,2,2025-09-29,217
