date,score,model_id,rank,date_dt,days
2024-02-29,0.0082,reclqXrYxgZTpBab8,1,2024-02-29,0
2024-10-22,0.0091,recOUfsKC9bkcotH7,1,2024-10-22,236
2024-11-18,0.0084,rece2Qdy3zVaNMGQC,2,2024-11-18,263
2024-12-17,0.0565,receX5UgjFSC6bHhJ,1,2024-12-17,292
2025-01-21,0.011,recSV0J0cBAe649lW,2,2025-01-21,327
2025-02-24,0.0423,recSYamjLFTjhxST2,2,2025-02-24,361
2025-02-27,0.0318,recirLSEw2XiQuFjQ,3,2025-02-27,364
2025-03-19,0.0614,rectGeIBkAzEjqw7r,1,2025-03-19,384
2025-04-16,0.0921,recrvtjPTqUld84O1,3,2025-04-16,412
2025-04-16,0.1309,recFdkH1oECir5L8f,1,2025-04-16,412
2025-04-16,0.1191,recwnrbrLEV1CEWNU,2,2025-04-16,412
2025-08-07,0.1047,recdH1BK7RYkIrKYh,3,2025-08-07,525
