date,score,model_id,rank,date_dt,days
2024-03-04,0.0081999999999999,Claude 3 Opus,1,2024-03-04,0
2024-09-24,0.0038,Llama 3.2 90B Vision Instruct,2,2024-09-24,204
2024-10-01,0.0091,Claude 3.5 Sonnet (October 2024),1,2024-10-01,211
2024-11-01,0.0084,Pixtral Large (November 2024),2,2024-11-01,242
2024-12-01,0.0565,o1 (December 2024),1,2024-12-01,272
2025-01-01,0.011,Gemini 2.0 Flash Thinking (January 2025),2,2025-01-01,303
2025-02-01,0.0318,GPT-4.5 Preview (February 2025),2,2025-02-01,334
2025-02-01,0.0226,Claude 3.7 Sonnet (February 2025),3,2025-02-01,334
2025-02-24,0.0423,Claude 3.7 Sonnet Thinking (Feb 2025),2,2025-02-24,357
2025-03-01,0.0613999999999999,o1 Pro (March 2025),1,2025-03-01,362
2025-04-01,0.1191,o3 (high) (April 2025),2,2025-04-01,393
2025-04-01,0.1309,o3 (medium) (April 2025),1,2025-04-01,393
2025-04-01,0.0921,o4-mini (high) (April 2025),3,2025-04-01,393
2025-08-07,0.1047,gpt-5-2025-08-07,3,2025-08-07,521
2025-10-06,0.1875,gpt-5-pro-2025-10-06,1,2025-10-06,581
2025-11-01,0.1191,claude-opus-4-5-20251101-thinking,3,2025-11-01,607
2025-11-18,0.1823999999999999,gemini-3-pro-preview,2,2025-11-18,624
