date,score,model_id,rank,date_dt,days
2024-06-20,0.0,claude-3-5-sonnet-20240620,1,2024-06-20,0
2024-10-22,0.0,claude-3-5-sonnet-20241022,1,2024-10-22,124
2025-01-31,0.0416666666666666,o3-mini-2025-01-31_high,1,2025-01-31,225
2025-04-09,0.0,grok-3-beta,2,2025-04-09,293
2025-04-14,0.0,gpt-4.1-2025-04-14,2,2025-04-14,298
2025-04-16,0.0208333333333333,o3-2025-04-16_high,3,2025-04-16,300
2025-04-16,0.0625,o4-mini-2025-04-16_high,1,2025-04-16,300
2025-04-16,0.0208333333333333,o4-mini-2025-04-16_medium,3,2025-04-16,300
2025-05-22,0.0416666666666666,claude-opus-4-20250514_27K,2,2025-05-22,336
2025-06-05,0.0208333333333333,gemini-2.5-pro-preview-06-05,3,2025-06-05,350
2025-06-17,0.0416666666666666,gemini-2.5-pro,2,2025-06-17,362
2025-07-09,0.0208333333333333,grok-4-0709,3,2025-07-09,384
2025-08-01,0.104,gemini-2.5-deep-think-2025-08-01-webapp,1,2025-08-01,407
2025-08-05,0.0416666666666666,claude-opus-4-1-20250805_27K,3,2025-08-05,411
2025-08-07,0.0625,gpt-5-mini-2025-08-07_high,3,2025-08-07,413
2025-08-07,0.0625,gpt-5-2025-08-07_medium,3,2025-08-07,413
2025-08-07,0.125,gpt-5-2025-08-07_high,1,2025-08-07,413
2025-10-07,0.125,gpt-5-pro-2025-10-06_high,1,2025-10-07,474
2025-11-13,0.125,gpt-5.1-2025-11-13_high,1,2025-11-13,511
2025-11-18,0.1875,gemini-3-pro-preview,1,2025-11-18,516
2025-12-11,0.1458333333333333,gpt-5.2-2025-12-11_high,3,2025-12-11,539
2025-12-11,0.1458333333333333,gpt-5.2-2025-12-11_medium,3,2025-12-11,539
2025-12-11,0.167,gpt-5.2-2025-12-11_xhigh,2,2025-12-11,539
