date,score,model_id,rank,date_dt,days
2023-12-11,0.368,Mixtral 8x7b,1,2023-12-11,0
2023-12-12,0.421,Gemini 1.0 Pro,1,2023-12-12,1
2024-02-24,0.632,Mistral Large 2402,1,2024-02-24,75
2024-02-29,0.368,Claude 3.0 Opus,3,2024-02-29,80
2024-03-07,0.474,Claude 3.0 Haiku,2,2024-03-07,87
2024-04-09,0.579,GPT 4 Turbo,2,2024-04-09,120
2024-05-13,0.737,GPT 4o,1,2024-05-13,154
2024-05-23,0.684,Gemini 1.5,2,2024-05-23,164
2024-08-13,0.632,Grok 2.0 Beta,3,2024-08-13,246
2024-09-12,0.684,o1 Preview,2,2024-09-12,276
2024-12-03,0.789,Amazon Nova 1.0 Pro,1,2024-12-03,358
2025-01-20,0.684,DeepSeek R1,3,2025-01-20,406
2025-01-31,0.737,o3 Mini,2,2025-01-31,417
2025-04-05,0.684,Llama 4 Maverick,3,2025-04-05,481
2025-04-16,0.684,o3,3,2025-04-16,492
2025-04-16,0.737,o4 Mini,2,2025-04-16,492
