date,score,model_id,rank,date_dt,days
2023-09-27,0.054,Mistral 7b Instruct,1,2023-09-27,0
2023-12-11,0.247,Mixtral 8x7b,1,2023-12-11,75
2023-12-12,0.28,Gemini 1.0 Pro,1,2023-12-12,76
2024-01-25,0.301,gpt-3.5-turbo-0125,1,2024-01-25,120
2024-02-24,0.29,Mistral Large 2402,2,2024-02-24,150
2024-02-29,0.366,Claude 3.0 Opus,2,2024-02-29,155
2024-02-29,0.441,Claude 3.0 Sonnet,1,2024-02-29,155
2024-05-13,0.387,GPT 4o,2,2024-05-13,229
2024-05-23,0.43,Gemini 1.5,2,2024-05-23,239
2024-05-23,0.387,Gemini 1.5 Pro,3,2024-05-23,239
2024-06-20,0.3979999999999999,Claude 3.5 Sonnet,3,2024-06-20,267
2024-07-23,0.452,Llama 3.1 405b (Bio Llama),1,2024-07-23,300
2024-09-12,0.5479999999999999,o1 Preview,1,2024-09-12,351
2024-12-05,0.645,o1,1,2024-12-05,435
2025-01-20,0.527,DeepSeek R1,3,2025-01-20,481
2025-01-31,0.634,o3 Mini,2,2025-01-31,492
2025-02-19,0.645,Claude 3.7 Sonnet V1 - Reasoning 16000,1,2025-02-19,511
2025-04-16,0.774,o3,1,2025-04-16,567
2025-04-16,0.634,o4 Mini,3,2025-04-16,567
