date,score,model_id,rank,date_dt,days
2023-03-14,0.3573232323232323,gpt-4-0314,1,2023-03-14,0
2023-07-11,0.3465909090909091,claude-2.0,2,2023-07-11,119
2023-11-06,0.4236111111111111,gpt-4-1106-preview,1,2023-11-06,237
2024-01-25,0.4226641414141414,gpt-4-0125-preview,2,2024-01-25,317
2024-02-26,0.3876262626262626,mistral-large-2402,3,2024-02-26,349
2024-02-29,0.4715909090909091,claude-3-opus-20240229,1,2024-02-29,352
2024-04-09,0.4659090909090909,gpt-4-turbo-2024-04-09,2,2024-04-09,392
2024-04-15,0.4343434343434343,WizardLM-2-8x22B,3,2024-04-15,398
2024-05-13,0.4889520202020202,gpt-4o-2024-05-13,1,2024-05-13,426
2024-06-20,0.5404040404040404,claude-3-5-sonnet-20240620,1,2024-06-20,464
2024-07-23,0.5091540404040404,Llama-3.1-405B-Instruct,2,2024-07-23,497
2024-07-24,0.4902146464646464,mistral-large-2407,3,2024-07-24,498
2024-08-06,0.4921085858585858,gpt-4o-2024-08-06,3,2024-08-06,511
2024-09-12,0.6237373737373737,o1-mini-2024-09-12_high,1,2024-09-12,548
2024-09-12,0.5950126262626263,o1-mini-2024-09-12_medium,2,2024-09-12,548
2024-09-24,0.5722853535353535,gemini-1.5-pro-002,3,2024-09-24,560
2024-12-17,0.7575757575757576,o1-2024-12-17_medium,2,2024-12-17,644
2024-12-17,0.7676767676767676,o1-2024-12-17_high,1,2024-12-17,644
2025-01-20,0.6922348484848484,DeepSeek-R1,3,2025-01-20,678
2025-01-31,0.7702020202020202,o3-mini-2025-01-31_high,1,2025-01-31,689
2025-02-24,0.7676767676767676,claude-3-7-sonnet-20250219_16K,3,2025-02-24,713
2025-02-24,0.7676767676767676,claude-3-7-sonnet-20250219_32K,3,2025-02-24,713
2025-02-24,0.7850378787878788,claude-3-7-sonnet-20250219_64K,1,2025-02-24,713
2025-03-25,0.8383838383838383,gemini-2.5-pro-exp-03-25,1,2025-03-25,742
2025-04-16,0.8181818181818182,o3-2025-04-16_high,2,2025-04-16,764
2025-04-16,0.7960858585858586,o4-mini-2025-04-16_high,3,2025-04-16,764
2025-06-05,0.8484848484848485,gemini-2.5-pro-preview-06-05,1,2025-06-05,814
2025-06-17,0.8529040404040404,gemini-2.5-pro,1,2025-06-17,826
2025-07-09,0.87,grok-4-0709,1,2025-07-09,848
2025-08-07,0.8535353535353535,gpt-5-2025-08-07_medium,3,2025-08-07,877
2025-08-07,0.8617424242424242,gpt-5-2025-08-07_high,2,2025-08-07,877
2025-11-13,0.8762626262626263,gpt-5.1_high,1,2025-11-13,975
2025-11-18,0.9261363636363636,gemini-3-pro-preview,1,2025-11-18,980
