date,score,model_id,rank,date_dt,days
2022-03-15,0.415,recCV3fjy0woa6qRp,1,2022-03-15,0
2022-04-04,0.565,recQRtEcEnhW9JjQq,1,2022-04-04,20
2022-11-28,0.782,rec0DLyWBFR5oVxIP,1,2022-11-28,258
2023-02-24,0.544,rec4GzBp6CBydS2Wm,3,2023-02-24,346
2023-03-14,0.92,recTKQ78vtQFitxa3,1,2023-03-14,364
2023-06-13,0.8999,recv4ey6euOnrKk4u,2,2023-06-13,455
2023-08-09,0.867,recDLKzSl6soGHAp4,3,2023-08-09,512
2024-06-13,0.876,recUsaulC09ZH70Bz,3,2024-06-13,821
2024-06-17,0.945,recoDUkItugTWxh4A,1,2024-06-17,825
2024-07-18,0.913,recQoEqZTISgXtQIB,3,2024-07-18,856
2024-11-06,0.942,rec6g3CVEg1gGzntY,2,2024-11-06,967
2024-11-21,0.93,recwGD4C2EUcVsndw,3,2024-11-21,982
