date,score,model_id,rank,date_dt,days
2024-07-18,0.64,gpt-4o-mini-2024-07-18,1,2024-07-18,0
2024-09-17,0.37,Pixtral-12B-2409,2,2024-09-17,61
2024-09-19,0.62,Qwen2.5-VL-72B-Instruct,2,2024-09-19,63
2024-09-24,0.76,gemini-1.5-flash-002,1,2024-09-24,68
2024-11-20,0.71,gpt-4o-2024-11-20,2,2024-11-20,125
2024-12-17,0.8,o1-2024-12-17_medium,1,2024-12-17,152
2025-02-05,0.77,gemini-2.0-flash-001,2,2025-02-05,202
2025-03-25,0.81,gemini-2.5-pro-exp-03-25,1,2025-03-25,250
2025-05-06,0.86,gemini-2.5-pro-preview-05-06,1,2025-05-06,292
2025-08-07,0.81,gpt-5-2025-08-07_medium,3,2025-08-07,385
2025-11-18,0.84,gemini-3-pro-preview,2,2025-11-18,488
2025-12-17,0.88,gemini-3-flash-preview,1,2025-12-17,517
