date,score,model_id,rank,date_dt,days
2019-11-05,0.4,gpt2-xl,1,2019-11-05,0
2020-05-28,0.775,davinci,1,2020-05-28,205
2020-06-22,0.682,curie,2,2020-06-22,230
2020-06-22,0.555,babbage,3,2020-06-22,230
2021-08-05,0.663,GPT-J (6B),3,2021-08-05,639
2021-12-08,0.792,Gopher (280B),1,2021-12-08,764
2021-12-13,0.766,GLaM (MoE),3,2021-12-13,769
2022-01-27,0.789,text-davinci-001,2,2022-01-27,814
2022-01-28,0.824,Megatron-Turing NLG 530B,1,2022-01-28,815
2022-01-28,0.799,TNLG v2 (530B),2,2022-01-28,815
2022-03-15,0.815,text-davinci-002,2,2022-03-15,861
2022-04-04,0.834,PaLM 540B,1,2022-04-04,881
2022-11-28,0.855,text-davinci-003,1,2022-11-28,1119
2023-02-24,0.842,LLaMA-65B,2,2023-02-24,1207
2023-03-14,0.953,gpt-4-0314,1,2023-03-14,1225
2023-03-14,0.953,gpt-4-32k-0314,1,2023-03-14,1225
2023-05-17,0.868,PaLM 2-L,3,2023-05-17,1289
2023-09-06,0.89,falcon-180B,3,2023-09-06,1401
2024-07-23,0.892,Llama-3.1-405B,3,2024-07-23,1722
