date,score,model_id,rank,date_dt,days
2024-09-24,0.046,Gemini-1.5-Pro-002,1,2024-09-24,0
2024-12-01,0.0796,o1 (December 2024),1,2024-12-01,68
2024-12-03,0.044,Nova Pro,3,2024-12-03,70
2024-12-18,0.0812,o1 Pro,1,2024-12-18,85
2025-01-01,0.0655999999999999,Gemini 2.0 Flash Thinking (January 2025),3,2025-01-01,99
2025-02-24,0.0803999999999999,Claude 3.7 Sonnet (Thinking),2,2025-02-24,153
2025-03-01,0.1816,Gemini 2.5 Pro Experimental (March 2025),1,2025-03-01,158
2025-04-01,0.2032,o3 (high) (April 2025),1,2025-04-01,189
2025-04-01,0.192,o3 (medium) (April 2025),2,2025-04-01,189
2025-06-05,0.2164,gemini-2.5-pro-preview-06-05,1,2025-06-05,254
2025-08-07,0.2532,gpt-5-2025-08-07,1,2025-08-07,317
2025-10-06,0.3164,gpt-5-pro-2025-10-06,1,2025-10-06,377
2025-11-01,0.252,claude-opus-4-5-20251101-thinking,3,2025-11-01,403
2025-11-18,0.3752,gemini-3-pro-preview,1,2025-11-18,420
