date,score,model_id,rank,date_dt,days
2023-12-11,0.152,Mixtral 8x7b,1,2023-12-11,0
2023-12-12,0.121,Gemini 1.0 Pro,2,2023-12-12,1
2024-02-24,0.3329999999999999,Mistral Large 2402,1,2024-02-24,75
2024-02-29,0.3329999999999999,Claude 3.0 Opus,1,2024-02-29,80
2024-02-29,0.152,Claude 3.0 Sonnet,2,2024-02-29,80
2024-03-07,0.152,Claude 3.0 Haiku,2,2024-03-07,87
2024-04-09,0.3329999999999999,GPT 4 Turbo,1,2024-04-09,120
2024-05-13,0.303,GPT 4o,2,2024-05-13,154
2024-05-23,0.303,Gemini 1.5,3,2024-05-23,164
2024-05-23,0.485,Gemini 1.5 Pro,1,2024-05-23,164
2024-06-20,0.3939999999999999,Claude 3.5 Sonnet,2,2024-06-20,192
2024-07-23,0.424,Llama 3.1 70b,2,2024-07-23,225
2024-07-24,0.424,Mistral Large 2407,2,2024-07-24,226
2024-08-13,0.3939999999999999,Llama 3.1 405b (Hermes 3),3,2024-08-13,246
2024-09-12,0.455,o1 Preview,2,2024-09-12,276
2024-10-22,0.515,Claude 3.5 Sonnet V2,1,2024-10-22,316
2024-12-05,0.455,o1,3,2024-12-05,360
2024-12-26,0.485,DeepSeek V3,2,2024-12-26,381
2025-01-20,0.485,DeepSeek R1,2,2025-01-20,406
2025-01-31,0.485,o3 Mini,2,2025-01-31,417
2025-02-19,0.545,Claude 3.7 Sonnet V1,2,2025-02-19,436
2025-02-19,0.636,Claude 3.7 Sonnet V1 - Reasoning 16000,1,2025-02-19,436
2025-04-16,0.545,o3,2,2025-04-16,492
