date,score,model_id,rank,date_dt,days
2023-12-11,0.276,Mixtral 8x7b,1,2023-12-11,0
2023-12-12,0.342,Gemini 1.0 Pro,1,2023-12-12,1
2024-02-24,0.377,Mistral Large 2402,1,2024-02-24,75
2024-02-29,0.432,Claude 3.0 Opus,1,2024-02-29,80
2024-02-29,0.382,Claude 3.0 Sonnet,2,2024-02-29,80
2024-05-13,0.417,GPT 4o,2,2024-05-13,154
2024-06-20,0.427,Claude 3.5 Sonnet,2,2024-06-20,192
2024-09-12,0.487,o1 Preview,1,2024-09-12,276
2024-12-05,0.518,o1,1,2024-12-05,360
2025-01-20,0.447,DeepSeek R1,3,2025-01-20,406
2025-04-16,0.477,o3,3,2025-04-16,492
