date,score,model_id,rank,date_dt,days
2023-12-11,0.2689999999999999,Mixtral 8x7b,1,2023-12-11,0
2023-12-12,0.361,Gemini 1.0 Pro,1,2023-12-12,1
2024-02-24,0.3979999999999999,Mistral Large 2402,1,2024-02-24,75
2024-02-29,0.639,Claude 3.0 Opus,1,2024-02-29,80
2024-02-29,0.417,Claude 3.0 Sonnet,2,2024-02-29,80
2024-03-07,0.426,Claude 3.0 Haiku,2,2024-03-07,87
2024-04-09,0.537,GPT 4 Turbo,2,2024-04-09,120
2024-05-13,0.63,GPT 4o,2,2024-05-13,154
2024-06-20,0.648,Claude 3.5 Sonnet,1,2024-06-20,192
2024-09-12,0.731,o1 Preview,1,2024-09-12,276
2024-10-22,0.639,Claude 3.5 Sonnet V2,3,2024-10-22,316
2024-12-05,0.731,o1,1,2024-12-05,360
2025-01-20,0.75,DeepSeek R1,1,2025-01-20,406
2025-02-19,0.667,Claude 3.7 Sonnet V1 - Reasoning 16000,3,2025-02-19,436
2025-04-16,0.731,o3,2,2025-04-16,492
2025-04-16,0.7040000000000001,o4 Mini,3,2025-04-16,492
