date,score,model_id,rank,date_dt,days
2023-12-11,0.317,Mixtral 8x7b,1,2023-12-11,0
2023-12-12,0.34,Gemini 1.0 Pro,1,2023-12-12,1
2024-02-24,0.382,Mistral Large 2402,1,2024-02-24,75
2024-02-29,0.517,Claude 3.0 Opus,1,2024-02-29,80
2024-02-29,0.45,Claude 3.0 Sonnet,2,2024-02-29,80
2024-03-07,0.517,Claude 3.0 Haiku,1,2024-03-07,87
2024-04-09,0.4479999999999999,GPT 4 Turbo,3,2024-04-09,120
2024-05-13,0.492,GPT 4o,2,2024-05-13,154
2024-05-23,0.48,Gemini 1.5 Pro,3,2024-05-23,164
2024-06-20,0.585,Claude 3.5 Sonnet,1,2024-06-20,192
2024-08-13,0.493,Grok 2.0 Beta,3,2024-08-13,246
2024-09-12,0.57,o1 Preview,2,2024-09-12,276
2024-10-22,0.575,Claude 3.5 Sonnet V2,2,2024-10-22,316
2024-12-05,0.628,o1,1,2024-12-05,360
2025-01-31,0.695,o3 Mini,1,2025-01-31,417
2025-02-19,0.633,Claude 3.7 Sonnet V1 - Reasoning 16000,2,2025-02-19,436
2025-04-16,0.7879999999999999,o3,1,2025-04-16,492
2025-04-16,0.695,o4 Mini,2,2025-04-16,492
