date,score,model_id,rank,date_dt,days
2021-12-08,0.745,Gopher (280B),1,2021-12-08,0
2022-01-27,0.762,GPT3 175B,1,2022-01-27,50
2022-01-27,0.725,text-davinci-001,3,2022-01-27,50
2022-01-28,0.7656,Megatron-Turing NLG 530B,1,2022-01-28,51
2022-03-29,0.774,Chinchilla (70B),1,2022-03-29,111
2022-04-04,0.779,PaLM 540B,1,2022-04-04,117
2023-02-24,0.777,LLaMA-65B,2,2023-02-24,443
2023-06-22,0.785,Inflection-1,1,2023-06-22,561
2023-07-18,0.789,Llama-2-70b-hf,1,2023-07-18,587
2023-09-06,0.798,falcon-180B,1,2023-09-06,637
