date,score,model_id,rank,date_dt,days
2024-07-18,0.6719999999999999,gpt-4o-mini-2024-07-18,1,2024-07-18,0
2024-07-24,0.6900000000000001,mistral-large-2407,1,2024-07-24,6
2024-09-12,0.649,o1-mini-2024-09-12_medium,3,2024-09-12,56
2024-10-22,0.735,claude-3-5-haiku-20241022,2,2024-10-22,96
2024-10-22,0.8029999999999999,claude-3-5-sonnet-20241022,1,2024-10-22,96
2024-11-20,0.818,gpt-4o-2024-11-20,1,2024-11-20,125
2025-01-20,0.8300000000000001,DeepSeek-R1,1,2025-01-20,186
2025-02-24,0.8109999999999999,claude-3-7-sonnet-20250219_16K,3,2025-02-24,221
2025-04-16,0.8390000000000001,o3-2025-04-16_medium,1,2025-04-16,272
2025-04-29,0.8300000000000001,qwen3-235b-a22b,2,2025-04-29,285
2025-06-10,0.8628,o3-pro-2025-06-10_medium,1,2025-06-10,327
2025-06-17,0.8602000000000001,gemini-2.5-pro,2,2025-06-17,334
2025-07-12,0.8693,Kimi-K2-Instruct,1,2025-07-12,359
2025-08-07,0.8723000000000001,gpt-5-2025-08-07_medium,1,2025-08-07,385
2025-09-05,0.8728999999999999,moonshotai/kimi-k2-0905,1,2025-09-05,414
2025-09-24,0.8711,qwen3-max-2025-09-23,3,2025-09-24,433
