date,score,model_id,rank,date_dt,days
2024-02-29,0.4916,claude-3-opus-20240229,1,2024-02-29,0
2024-04-23,0.2236,Phi-3-mini-4k-instruct,3,2024-04-23,54
2024-04-23,0.2403,Phi-3-small-8k-instruct,2,2024-04-23,54
2024-06-24,0.3818,gemma-2-27b-it,2,2024-06-24,116
2024-06-24,0.2866,gemma-2-9b-it,3,2024-06-24,116
2024-07-18,0.4125999999999999,gpt-4o-mini-2024-07-18,2,2024-07-18,140
2024-08-06,0.5533,gpt-4o-2024-08-06,1,2024-08-06,159
2024-08-14,0.4621,Dracarys2-Llama-3.1-70B-Instruct,3,2024-08-14,167
2024-09-12,0.5776,o1-mini-2024-09-12_medium,1,2024-09-12,196
2024-09-30,0.5264,Dracarys2-72B-Instruct,3,2024-09-30,214
2024-10-22,0.5903,claude-3-5-sonnet-20241022,1,2024-10-22,236
2024-12-06,0.6409,gemini-exp-1206,1,2024-12-06,281
2024-12-11,0.5926,gemini-2.0-flash-exp,2,2024-12-11,286
2024-12-17,0.7567,o1-2024-12-17_high,1,2024-12-17,292
2024-12-26,0.6045,DeepSeek-V3,3,2024-12-26,301
2025-01-20,0.7156999999999999,DeepSeek-R1,2,2025-01-20,326
2025-01-21,0.6692,gemini-2.0-flash-thinking-exp-01-21,3,2025-01-21,327
2025-01-31,0.7587999999999999,o3-mini-2025-01-31_high,1,2025-01-31,337
2025-02-24,0.7609999999999999,claude-3-7-sonnet-20250219,1,2025-02-24,361
2025-03-25,0.8234999999999999,gemini-2.5-pro-exp-03-25,1,2025-03-25,390
2025-11-13,0.7879,gpt-5.1-2025-11-13_high,2,2025-11-13,623
