date,score,model_id,rank,date_dt,days
2024-02-29,0.4916,reclqXrYxgZTpBab8,1,2024-02-29,0
2024-06-24,0.2866,receyDOe0myhDJQxR,3,2024-06-24,116
2024-06-24,0.3818,recna3sR36eB2OFXi,2,2024-06-24,116
2024-07-18,0.4125999999999999,recQoEqZTISgXtQIB,2,2024-07-18,140
2024-08-06,0.5533,rec919QgwS5y17hFV,1,2024-08-06,159
2024-08-14,0.4621,rec9mzN8sPpQKlBEh,3,2024-08-14,167
2024-09-12,0.5776,recFBJ7nvDJdSa72l,1,2024-09-12,196
2024-09-30,0.5264,recJJdWrcLq9aoTbS,3,2024-09-30,214
2024-10-22,0.5903,recOUfsKC9bkcotH7,1,2024-10-22,236
2024-12-06,0.6409,recghgPHbSu7RuItj,1,2024-12-06,281
2024-12-11,0.5926,rec8kISF1T92Jikk4,2,2024-12-11,286
2024-12-17,0.7567,rec35V8M8ztYVkdrn,1,2024-12-17,292
2024-12-26,0.6045,rec9frsexPiviWPFG,3,2024-12-26,301
2025-01-20,0.7156999999999999,recyBRyCkiovMHdDw,2,2025-01-20,326
2025-01-21,0.6692,recSV0J0cBAe649lW,3,2025-01-21,327
2025-01-31,0.7587999999999999,recRZCrSqXDNzFtUh,1,2025-01-31,337
2025-02-24,0.7609999999999999,recSYamjLFTjhxST2,1,2025-02-24,361
2025-03-25,0.8234999999999999,rechC8urIV2AN5s7u,1,2025-03-25,390
