date,score,model_id,rank,date_dt,days
2024-11-20,0.072,gpt-4o-2024-11-20,1,2024-11-20,0
2025-04-05,0.008,Llama-4-Maverick,2,2025-04-05,136
2025-04-29,0.12,qwen3-235B-A22B,1,2025-04-29,160
2025-05-14,0.356,claude-4-Sonnet-20250514,1,2025-05-14,175
2025-06-05,0.088,gemini-2.5-Pro-Preview-06-05,3,2025-06-05,197
2025-06-10,0.436,o3-pro-2025-06-10-high,1,2025-06-10,202
2025-07-12,0.239,kimi-k2-instruct,3,2025-07-12,234
2025-08-05,0.409,claude-opus-4-1-20250805,2,2025-08-05,258
2025-08-07,0.445,gpt-5-2025-08-07,1,2025-08-07,260
2025-09-29,0.4379999999999999,claude-4-5-sonnet,2,2025-09-29,313
2025-11-01,0.623,claude-opus-4-5-20251101,1,2025-11-01,346
2025-11-18,0.541,gemini-3-pro-preview,2,2025-11-18,363
