date,score,model_id,rank,date_dt,days
2019-11-05,0.101046,gpt2-xl,1,2019-11-05,0
2022-03-15,0.161869,davinci-002,1,2022-03-15,861
2023-03-14,0.361067,gpt-4-0314,1,2023-03-14,1225
2023-09-18,0.214611,gpt-3.5-turbo-instruct,2,2023-09-18,1413
2023-11-06,0.404329,gpt-4-1106-preview,1,2023-11-06,1462
2024-01-25,0.351726,gpt-4-0125-preview,3,2024-01-25,1542
2024-02-29,0.377459,claude-3-opus-20240229,2,2024-02-29,1577
2024-04-09,0.367357,gpt-4-turbo-2024-04-09,3,2024-04-09,1617
2024-06-20,0.476797,claude-3-5-sonnet-20240620,1,2024-06-20,1689
2024-09-12,0.492955,o1-preview-2024-09-12,1,2024-09-12,1773
2024-10-22,0.52701,claude-3-5-sonnet-20241022,1,2024-10-22,1813
2024-12-17,0.55932,o1-2024-12-17_medium,1,2024-12-17,1869
2025-01-20,0.519251,DeepSeek-R1,3,2025-01-20,1903
2025-02-24,0.599681,claude-3-7-sonnet-20250219_16K,1,2025-02-24,1938
2025-04-16,0.654376,o3-2025-04-16_medium,1,2025-04-16,1989
2025-04-16,0.639269,o4-mini-2025-04-16_medium,2,2025-04-16,1989
2025-05-22,0.639292,claude-opus-4-20250514_16K,2,2025-05-22,2025
2025-07-09,0.665803,grok-4-0709,1,2025-07-09,2073
2025-08-05,0.668069,claude-opus-4-1-20250805_16K,1,2025-08-05,2100
2025-08-07,0.696053,gpt-5-2025-08-07_medium,1,2025-08-07,2102
2025-09-29,0.673842,claude-sonnet-4-5-20250929_16K,2,2025-09-29,2155
