date,score,model_id,rank,date_dt,days
2023-12-11,0.611,Mixtral 8x7b,1,2023-12-11,0
2023-12-12,0.7,Gemini 1.0 Pro,1,2023-12-12,1
2024-02-24,0.7340000000000001,Mistral Large 2402,1,2024-02-24,75
2024-02-29,0.8540000000000001,Claude 3.0 Opus,1,2024-02-29,80
2024-02-29,0.768,Claude 3.0 Sonnet,2,2024-02-29,80
2024-04-09,0.851,GPT 4 Turbo,2,2024-04-09,120
2024-05-13,0.8490000000000001,GPT 4o,3,2024-05-13,154
2024-05-23,0.883,Gemini 1.5 Pro,1,2024-05-23,164
2024-06-20,0.887,Claude 3.5 Sonnet,1,2024-06-20,192
2024-07-23,0.87,Llama 3.1 405b,3,2024-07-23,225
2024-09-12,0.8909999999999999,o1 Preview,1,2024-09-12,276
2024-10-22,0.887,Claude 3.5 Sonnet V2,3,2024-10-22,316
2024-12-05,0.921,o1,1,2024-12-05,360
2025-01-20,0.907,DeepSeek R1,2,2025-01-20,406
2025-01-31,0.895,o3 Mini,3,2025-01-31,417
2025-02-19,0.922,Claude 3.7 Sonnet V1 - Reasoning 16000,1,2025-02-19,436
2025-02-27,0.911,GPT 4.5 Preview,3,2025-02-27,444
