date,score,model_id,rank,date_dt,days
2023-09-27,0.13,Mistral 7b Instruct,1,2023-09-27,0
2023-12-11,0.311,Mixtral 8x7b,1,2023-12-11,75
2023-12-12,0.405,Gemini 1.0 Pro,1,2023-12-12,76
2024-01-25,0.36,gpt-3.5-turbo-0125,2,2024-01-25,120
2024-02-24,0.484,Mistral Large 2402,1,2024-02-24,150
2024-02-29,0.7190000000000001,Claude 3.0 Opus,1,2024-02-29,155
2024-02-29,0.529,Claude 3.0 Sonnet,2,2024-02-29,155
2024-04-09,0.6759999999999999,GPT 4 Turbo,2,2024-04-09,195
2024-05-13,0.7290000000000001,GPT 4o,1,2024-05-13,229
2024-05-23,0.805,Gemini 1.5 Pro,1,2024-05-23,239
2024-05-23,0.73,Gemini 1.5,2,2024-05-23,239
2024-06-20,0.765,Claude 3.5 Sonnet,2,2024-06-20,267
2024-07-23,0.7609999999999999,Llama 3.1 405b,3,2024-07-23,300
2024-07-24,0.8340000000000001,Mistral Large 2407,1,2024-07-24,301
2024-09-12,0.845,o1 Preview,1,2024-09-12,351
2024-12-05,0.877,o1,1,2024-12-05,435
2025-01-20,0.895,DeepSeek R1,1,2025-01-20,481
2025-01-31,0.873,o3 Mini,3,2025-01-31,492
2025-02-19,0.878,Claude 3.7 Sonnet V1 - Reasoning 16000,2,2025-02-19,511
2025-04-16,0.883,o4 Mini,2,2025-04-16,567
