date,score,model_id,rank,date_dt,days
2021-08-05,0.257,recxwTLjMWqaV2sD7,1,2021-08-05,0
2021-12-08,0.6,rec1ierxC1o8k7tZX,1,2021-12-08,125
2022-01-27,0.439,recShfp3NCaoaTiRM,2,2022-01-27,175
2022-03-15,0.7,recCV3fjy0woa6qRp,1,2022-03-15,222
2022-03-29,0.675,rec6zMMGInyTgmoYM,2,2022-03-29,236
2022-04-04,0.693,recQRtEcEnhW9JjQq,2,2022-04-04,242
2023-03-14,0.864,recTKQ78vtQFitxa3,1,2023-03-14,586
2023-04-18,0.77,recMLFLJPhvFZr9nS,2,2023-04-18,621
2023-06-13,0.735,recv4ey6euOnrKk4u,3,2023-06-13,677
2023-07-11,0.785,recjpLf0f31YMjXxx,2,2023-07-11,705
2024-04-23,0.78,recnoDbSqlDbhRL8j,3,2024-04-23,992
2024-05-07,0.784,recGWNIgKpoEsuG5i,3,2024-05-07,1006
2024-06-20,0.799,recOrtz5RizjzMdyj,2,2024-06-20,1050
2024-07-18,0.818,recQoEqZTISgXtQIB,2,2024-07-18,1078
2024-07-23,0.844,recCJLnPu5EFxJvrH,2,2024-07-23,1083
2024-09-19,0.853,recCmXbHaNulz5FVG,2,2024-09-19,1141
2024-09-19,0.85,recgiKxUSiP3AsCOB,3,2024-09-19,1141
2024-11-20,0.881,recXAxE8fbzwd4E88,1,2024-11-20,1203
2024-12-06,0.863,recwaIj4zWA9ibHCo,3,2024-12-06,1219
2024-12-26,0.871,rec9frsexPiviWPFG,2,2024-12-26,1239
