date,score,model_id,rank,date_dt,days
2021-08-05,0.251,gpt-j-6b,1,2021-08-05,0
2021-12-08,0.6,Gopher (280B),1,2021-12-08,125
2022-01-27,0.439,text-davinci-001,2,2022-01-27,175
2022-03-15,0.7,text-davinci-002,1,2022-03-15,222
2022-03-29,0.675,Chinchilla (70B),2,2022-03-29,236
2022-04-04,0.693,PaLM 540B,2,2022-04-04,242
2023-03-01,0.6854,GPT-3.5 Turbo,3,2023-03-01,573
2023-03-14,0.864,gpt-4-0314,1,2023-03-14,586
2023-03-15,0.8393,GPT-4,2,2023-03-15,587
2023-04-18,0.77,claude-1.3,3,2023-04-18,621
2023-05-10,0.786,PaLM-2 (Unicorn),3,2023-05-10,643
2023-06-13,0.824,gpt-4-0613,3,2023-06-13,677
2024-02-29,0.846,claude-3-opus-20240229,2,2024-02-29,938
2024-05-13,0.842,gpt-4o-2024-05-13,3,2024-05-13,1012
2024-06-20,0.865,claude-3-5-sonnet-20240620,1,2024-06-20,1050
2024-09-19,0.853,qwen2.5-72b-instruct,3,2024-09-19,1141
2024-09-24,0.869,gemini-1.5-pro-002,1,2024-09-24,1146
2024-10-22,0.873,claude-3-5-sonnet-20241022,1,2024-10-22,1174
2024-11-20,0.881,gpt-4o-2024-11-20,1,2024-11-20,1203
2024-12-26,0.872,DeepSeek-V3,3,2024-12-26,1239
