date,score,model_id,rank,date_dt,days
2024-05-13,0.1242,GPT-4o,1,2024-05-13,0
2025-01-20,0.2427,Deepseek-R1,1,2025-01-20,252
2025-02-24,0.2777,Claude-3.7-Sonnet-thinking,1,2025-02-24,287
2025-04-14,0.2123,GPT-4.1,3,2025-04-14,336
2025-04-16,0.455,o3-2025-04-16-high,1,2025-04-16,338
2025-04-16,0.4445,o3-2025-04-16-medium,2,2025-04-16,338
2025-05-14,0.3393,Claude-4-Opus-20250514-thinking,3,2025-05-14,366
2025-06-05,0.4512,Gemini-2.5-Pro-Preview-06-05,2,2025-06-05,388
2025-06-10,0.49,o3-pro-2025-06-10-high,1,2025-06-10,393
2025-08-07,0.5213,gpt-5-2025-08-07,1,2025-08-07,451
2025-10-06,0.652,gpt-5-pro-2025-10-06,1,2025-10-06,511
2025-11-18,0.5896,gemini-3-pro-preview,2,2025-11-18,554
