date,score,model_id,rank,date_dt,days
2023-03-14,0.0055555555555555,gpt-4-0314,1,2023-03-14,0
2023-06-13,0.0111111111111111,gpt-4-0613,1,2023-06-13,91
2023-07-11,0.025,claude-2.0,1,2023-07-11,119
2023-11-21,0.0194444444444444,claude-2.1,2,2023-11-21,252
2024-02-26,0.0194444444444444,mistral-large-2402,3,2024-02-26,349
2024-02-29,0.0472222222222222,claude-3-opus-20240229,1,2024-02-29,352
2024-02-29,0.025,claude-3-sonnet-20240229,3,2024-02-29,352
2024-04-09,0.0666666666666666,gpt-4-turbo-2024-04-09,1,2024-04-09,392
2024-04-18,0.0430555555555555,Meta-Llama-3-70B-Instruct,3,2024-04-18,401
2024-05-13,0.0625,gpt-4o-2024-05-13,2,2024-05-13,426
2024-05-24,0.0680555555555555,gemini-1.5-pro-001,1,2024-05-24,437
2024-06-20,0.0652777777777777,claude-3-5-sonnet-20240620,3,2024-06-20,464
2024-07-18,0.0694444444444444,gpt-4o-mini-2024-07-18,1,2024-07-18,492
2024-07-23,0.0972222222222222,Llama-3.1-405B-Instruct,1,2024-07-23,497
2024-07-24,0.0847222222222222,mistral-large-2407,2,2024-07-24,498
2024-09-12,0.4694444444444444,o1-mini-2024-09-12_high,1,2024-09-12,548
2024-09-12,0.4472222222222222,o1-mini-2024-09-12_medium,2,2024-09-12,548
2024-09-12,0.3111111111111111,o1-preview-2024-09-12,3,2024-09-12,548
2024-12-17,0.7333333333333333,o1-2024-12-17_medium,1,2024-12-17,644
2025-01-20,0.5333333333333333,DeepSeek-R1,2,2025-01-20,678
2025-01-20,0.5138888888888888,DeepSeek-R1-Distill-Llama-70B,3,2025-01-20,678
2025-01-21,0.5777777777777777,gemini-2.0-flash-thinking-exp-01-21,2,2025-01-21,679
2025-01-31,0.7694444444444445,o3-mini-2025-01-31_high,1,2025-01-31,689
2025-01-31,0.6388888888888888,o3-mini-2025-01-31_medium,3,2025-01-31,689
2025-04-09,0.7777777777777778,grok-3-mini-beta_high,1,2025-04-09,757
2025-04-16,0.8388888888888889,o3-2025-04-16_high,1,2025-04-16,764
2025-04-16,0.8166666666666667,o4-mini-2025-04-16_high,2,2025-04-16,764
2025-06-17,0.8472222222222222,gemini-2.5-pro,1,2025-06-17,826
2025-07-09,0.84,grok-4-0709,2,2025-07-09,848
2025-07-25,0.8666666666666667,Qwen3-235B-A22B-Thinking-2507,1,2025-07-25,864
2025-08-05,0.8888888888888888,openai/gpt-oss-120b_high,1,2025-08-05,875
2025-08-07,0.9138888888888888,gpt-5-2025-08-07_high,1,2025-08-07,877
2025-08-07,0.8722222222222222,gpt-5-2025-08-07_medium,3,2025-08-07,877
2025-11-13,0.8861111111111111,gpt-5.1-2025-11-13_high,3,2025-11-13,975
2025-11-18,0.9138888888888888,gemini-3-pro-preview,2,2025-11-18,980
2025-12-11,0.9611111111111112,gpt-5.2-2025-12-11_high,1,2025-12-11,1003
2025-12-11,0.961,gpt-5.2-2025-12-11_xhigh,2,2025-12-11,1003
2025-12-11,0.9388888888888888,gpt-5.2-2025-12-11_medium,3,2025-12-11,1003
