date,score,model_id,rank,date_dt,days
2019-11-05,0.224,gpt2-xl,1,2019-11-05,0
2021-08-05,0.382,gpt-j-6b,1,2021-08-05,639
2021-12-13,0.534,GLaM (MoE),1,2021-12-13,769
2022-01-27,0.576,text-davinci-001,1,2022-01-27,814
2022-04-04,0.534,PaLM 540B,3,2022-04-04,881
2023-02-24,0.602,LLaMA-65B,1,2023-02-24,1207
2023-02-24,0.586,LLaMA-33B,2,2023-02-24,1207
2023-07-18,0.602,Llama-2-70b-hf,2,2023-07-18,1351
2023-09-06,0.642,falcon-180B,1,2023-09-06,1401
2023-09-27,0.798,Mistral-7B-v0.1,1,2023-09-27,1422
2023-11-06,0.86,gpt-3.5-turbo-1106,1,2023-11-06,1462
2023-12-11,0.858,Mixtral-8x7B-v0.1,2,2023-12-11,1497
2024-04-23,0.88,Phi-3-small-8k-instruct,1,2024-04-23,1631
2024-04-23,0.874,Phi-3-medium-128k-instruct,2,2024-04-23,1631
