date,score,model_id,rank,date_dt,days
2019-11-05,0.705,recg6ZntBt4LeoVMt,1,2019-11-05,0
2021-08-05,0.754,recxwTLjMWqaV2sD7,1,2021-08-05,639
2021-12-08,0.818,rec1ierxC1o8k7tZX,1,2021-12-08,764
2022-01-27,0.823,recShfp3NCaoaTiRM,1,2022-01-27,814
2022-01-28,0.8319,recyWDdAm34KJ0nYp,1,2022-01-28,815
2022-03-29,0.818,rec6zMMGInyTgmoYM,3,2022-03-29,875
2022-04-04,0.823,recQRtEcEnhW9JjQq,2,2022-04-04,881
2023-02-24,0.828,rec4GzBp6CBydS2Wm,2,2023-02-24,1207
2023-02-27,0.823,recdNhsyonuqezvQQ,3,2023-02-27,1210
2023-03-15,0.83,recBIzyM3Kwv1oO2Z,2,2023-03-15,1226
2023-06-22,0.842,rec1oBsYRw31Gq15p,1,2023-06-22,1325
2023-07-20,0.833,recQzAdH65teVa2Uj,2,2023-07-20,1353
2023-09-06,0.849,recFTR8QvQsc8jd7l,1,2023-09-06,1401
2023-12-11,0.836,rec9KBarEBzPWVIGW,3,2023-12-11,1497
2024-05-07,0.839,recGWNIgKpoEsuG5i,3,2024-05-07,1645
2024-07-18,0.887,recQoEqZTISgXtQIB,1,2024-07-18,1717
2024-07-23,0.859,recCJLnPu5EFxJvrH,2,2024-07-23,1722
2024-08-17,0.886,rec9QpT6SBTumjGaY,2,2024-08-17,1747
2024-09-24,0.875,recvZFehaCUHixg0m,3,2024-09-24,1785
