date,score,model_id,rank,date_dt,days
2025-04-05,0.2236,llama4-maverick-instruct-basic,1,2025-04-05,0
2025-04-14,0.3432,gpt-4.1,1,2025-04-14,9
2025-04-14,0.3045,gpt-4.1-mini,2,2025-04-14,9
2025-04-16,0.4769,o3,1,2025-04-16,11
2025-04-16,0.3922,o4-mini,2,2025-04-16,11
2025-04-29,0.3914,qwen.qwen3-235b-a22b-2507-v1:0,3,2025-04-29,24
2025-06-10,0.4907999999999999,o3-pro,1,2025-06-10,66
2025-08-05,0.4379999999999999,gpt-oss-120b,3,2025-08-05,122
2025-08-07,0.5132,gpt-5,1,2025-08-07,124
2025-08-07,0.5106,gpt-5-pro,2,2025-08-07,124
