date,score,model_id,rank,date_dt,days
2024-11-20,0.2162,gpt-4o-2024-11-20,1,2024-11-20,0
2024-11-21,0.09,Qwen2.5-Coder-32B-Instruct,2,2024-11-21,1
2025-02-05,0.1352,gemini-2.0-flash-001,2,2025-02-05,77
2025-02-24,0.528,claude-3-7-sonnet-20250219,1,2025-02-24,96
2025-04-05,0.2104,Llama-4-Maverick-17B-128E-Instruct,3,2025-04-05,136
2025-04-14,0.3958,gpt-4.1-2025-04-14,2,2025-04-14,145
2025-04-14,0.2394,gpt-4.1-mini-2025-04-14,3,2025-04-14,145
2025-04-16,0.584,o3-2025-04-16_medium,1,2025-04-16,147
2025-04-16,0.45,o4-mini-2025-04-16_medium,3,2025-04-16,147
2025-05-06,0.536,gemini-2.5-pro-preview-05-06,2,2025-05-06,167
2025-05-22,0.676,claude-opus-4-20250514,1,2025-05-22,183
2025-05-22,0.6493,claude-sonnet-4-20250514,2,2025-05-22,183
2025-08-07,0.65,gpt-5-2025-08-07_medium,2,2025-08-07,260
2025-09-29,0.706,claude-sonnet-4-5-20250929,1,2025-09-29,313
2025-11-12,0.66,gpt-5.1-codex,3,2025-11-12,357
2025-11-18,0.742,gemini-3-pro-preview,1,2025-11-18,363
2025-11-24,0.744,claude-opus-4-5-20251101,1,2025-11-24,369
2025-12-11,0.718,gpt-5.2-2025-12-11_high,3,2025-12-11,386
