date,score,model_id,rank,date_dt,days
2024-11-20,0.0492,gpt-4o-2024-11-20,1,2024-11-20,0
2025-04-29,0.0342,Qwen3-32B,2,2025-04-29,160
2025-04-30,0.0684,SWE-Smith-32B,1,2025-04-30,161
2025-05-14,0.1765,claude-4-Sonnet-20250514,1,2025-05-14,175
2025-05-22,0.427,claude-4-Sonnet,1,2025-05-22,183
2025-06-05,0.1354,gemini-2.5-Pro-Preview-06-05,3,2025-06-05,197
2025-07-12,0.2767,kimi-k2-instruct,2,2025-07-12,234
2025-08-05,0.2271,claude-opus-4-1-20250805,3,2025-08-05,258
2025-08-07,0.4178,gpt-5-2025-08-07 (High),2,2025-08-07,260
2025-09-29,0.436,claude-4-5-Sonnet,1,2025-09-29,313
2025-11-01,0.4589,claude-opus-4-5-20251101,1,2025-11-01,346
2025-11-18,0.433,gemini-3-pro-preview,3,2025-11-18,363
