date,score,model_id,rank,date_dt,days
2024-06-20,0.32,claude-3-5-sonnet-20240620,1,2024-06-20,0
2024-10-22,0.406,claude-3-5-sonnet-20241022,1,2024-10-22,124
2025-01-31,0.378,o3-mini-2025-01-31_medium,2,2025-01-31,225
2025-02-24,0.522,claude-3-7-sonnet-20250219,1,2025-02-24,249
2025-04-09,0.386,grok-3-beta,3,2025-04-09,293
2025-04-14,0.41,gpt-4.1-2025-04-14,2,2025-04-14,298
2025-04-16,0.43687374749499,o3-2025-04-16_medium,2,2025-04-16,300
2025-05-22,0.622,claude-opus-4-20250514,1,2025-05-22,336
2025-05-22,0.606,claude-sonnet-4-20250514,2,2025-05-22,336
2025-08-05,0.632,claude-opus-4-1-20250805,1,2025-08-05,411
2025-08-07,0.616,gpt-5-mini-2025-08-07_high,3,2025-08-07,413
2025-09-29,0.648,claude-sonnet-4-5-20250929,1,2025-09-29,466
