date,score,model_id,rank,date_dt,days
2024-02-29,0.235,reclqXrYxgZTpBab8,1,2024-02-29,0
2024-04-09,0.251,recV9JAYMPmadenWm,1,2024-04-09,40
2024-06-20,0.275,recOrtz5RizjzMdyj,1,2024-06-20,112
2024-09-12,0.417,recldkOShqz5UyF6y,1,2024-09-12,196
2024-09-24,0.271,recLHXiwRty7lOPtS,3,2024-09-24,208
2024-10-22,0.414,recOUfsKC9bkcotH7,2,2024-10-22,236
2024-12-06,0.311,recghgPHbSu7RuItj,3,2024-12-06,281
2024-12-17,0.401,rec35V8M8ztYVkdrn,3,2024-12-17,292
2025-02-24,0.464,reclBLn1NxUDFQWZq,1,2025-02-24,361
2025-02-24,0.449,recSYamjLFTjhxST2,2,2025-02-24,361
2025-03-25,0.516,rechC8urIV2AN5s7u,1,2025-03-25,390
2025-04-16,0.531,recwnrbrLEV1CEWNU,1,2025-04-16,412
2025-05-22,0.588,recUiq7ao74js42PN,1,2025-05-22,448
2025-06-05,0.624,recmGCSEixdFEeMjm,1,2025-06-05,462
2025-07-09,0.605,recMlollg5Ye5aSq1,2,2025-07-09,496
2025-08-05,0.6,recQsjcAjvM3fEI0p,3,2025-08-05,523
