date,score,model_id,rank,date_dt,days
2024-02-29,0.235,claude-3-opus-20240229,1,2024-02-29,0
2024-04-09,0.251,gpt-4-turbo-2024-04-09,1,2024-04-09,40
2024-06-20,0.275,claude-3-5-sonnet-20240620,1,2024-06-20,112
2024-09-12,0.417,o1-preview-2024-09-12,1,2024-09-12,196
2024-09-24,0.271,gemini-1.5-pro-002,3,2024-09-24,208
2024-10-22,0.414,claude-3-5-sonnet-20241022,2,2024-10-22,236
2024-12-06,0.311,gemini-exp-1206,3,2024-12-06,281
2024-12-17,0.401,o1-2024-12-17_high,3,2024-12-17,292
2025-02-24,0.464,claude-3-7-sonnet-20250219_12K,1,2025-02-24,361
2025-02-24,0.449,claude-3-7-sonnet-20250219,2,2025-02-24,361
2025-03-25,0.516,gemini-2.5-pro-exp-03-25,1,2025-03-25,390
2025-04-16,0.531,o3-2025-04-16_high,1,2025-04-16,412
2025-05-22,0.588,claude-opus-4-20250514_12K,1,2025-05-22,448
2025-06-05,0.624,gemini-2.5-pro-preview-06-05,1,2025-06-05,462
2025-07-09,0.605,grok-4-0709,2,2025-07-09,496
2025-08-05,0.6,claude-opus-4-1-20250805,3,2025-08-05,523
2025-10-07,0.616,gpt-5-pro-2025-10-06_high,2,2025-10-07,586
2025-11-18,0.764,gemini-3-pro-preview,1,2025-11-18,628
2025-11-24,0.62,claude-opus-4-5-20251101,3,2025-11-24,634
