date,score,model_id,rank,date_dt,days
2024-10-22,0.067,claude-3-5-haiku-20241022,1,2024-10-22,0
2025-04-09,0.211,grok-3-mini-beta_high,1,2025-04-09,169
2025-04-16,0.53,o3-2025-04-16_high,1,2025-04-16,176
2025-04-16,0.239,o4-mini-2025-04-16_high,2,2025-04-16,176
2025-05-28,0.274,DeepSeek-R1-0528,2,2025-05-28,218
2025-06-17,0.56,gemini-2.5-pro,1,2025-06-17,238
2025-07-09,0.479,grok-4-0709,3,2025-07-09,260
2025-07-25,0.501002004008016,Qwen3-235B-A22B-Thinking-2507,3,2025-07-25,276
2025-08-07,0.506,gpt-5-2025-08-07_high,3,2025-08-07,289
2025-09-24,0.6746746746746747,qwen3-max-2025-09-23,1,2025-09-24,337
2025-11-18,0.729,gemini-3-pro-preview,1,2025-11-18,392
2025-12-17,0.674,gemini-3-flash-preview,3,2025-12-17,421
