date,score,model_id,rank,date_dt,days
2025-01-20,0.057,recyBRyCkiovMHdDw,1,2025-01-20,0
2025-02-24,0.352,recSYamjLFTjhxST2,1,2025-02-24,35
2025-04-05,0.155,recDgOqOJCbZmaiUq,2,2025-04-05,75
2025-04-09,0.175,rec04e51FR9W9eS6E,2,2025-04-09,79
2025-04-14,0.303,recfrg0NaLfvTA6Ck,2,2025-04-14,84
2025-04-16,0.302,recFdkH1oECir5L8f,3,2025-04-16,86
2025-05-22,0.548,rec31dJdHmGhDSJqe,1,2025-05-22,122
2025-05-22,0.453,recb3XftCYhOBoIZF,2,2025-05-22,122
2025-08-03,0.399,recfGLf8NV4onhILM,3,2025-08-03,195
2025-08-05,0.588,recQsjcAjvM3fEI0p,1,2025-08-05,197
2025-08-07,0.525,recPs1KpCfWyKSaXK,3,2025-08-07,199
