date,score,model_id,rank,date_dt,days
2024-06-07,0.011,qwen2-72b-instruct,1,2024-06-07,0
2024-07-23,0.074,Llama-3.1-405B-Instruct,1,2024-07-23,46
2024-07-23,0.069,Llama-3.1-70B-Instruct,2,2024-07-23,46
2024-09-19,0.057,qwen2.5-72b-instruct,3,2024-09-19,104
2024-10-22,0.24,claude-3-5-sonnet-20241022,1,2024-10-22,137
2024-11-20,0.086,gpt-4o-2024-11-20,2,2024-11-20,166
2025-02-05,0.114,gemini-2.0-flash-001,2,2025-02-05,243
2025-02-24,0.309,claude-3-7-sonnet-20250219,1,2025-02-24,262
2025-05-06,0.303,gemini-2.5-pro-preview-05-06,2,2025-05-06,333
2025-05-22,0.331,claude-sonnet-4-20250514,1,2025-05-22,349
2025-09-25,0.411,gemini-2.5-flash-preview-09-2025,1,2025-09-25,475
2025-09-29,0.429,DeepSeek-V3.2-Exp,1,2025-09-29,479
