date,score,model_id,rank,date_dt,days
2023-06-13,0.5139,recv4ey6euOnrKk4u,1,2023-06-13,0
2023-11-06,0.6076,recpR65rao7DRvmHV,1,2023-11-06,146
2024-02-29,0.5278,reclqXrYxgZTpBab8,3,2024-02-29,261
2024-02-29,0.5417,reco9s5eYmRMVghqF,2,2024-02-29,261
2024-05-13,0.6458,recVkdsm2IEKwWlA4,1,2024-05-13,335
2024-05-24,0.6028,rec5qoiwKAqRrwXob,3,2024-05-24,346
2024-09-12,0.6643,recldkOShqz5UyF6y,1,2024-09-12,457
2024-12-17,0.7014,rec35V8M8ztYVkdrn,1,2024-12-17,553
2025-01-20,0.6527,recyBRyCkiovMHdDw,3,2025-01-20,587
2025-01-31,0.6527,recRZCrSqXDNzFtUh,3,2025-01-31,598
2025-02-24,0.6527,recSYamjLFTjhxST2,3,2025-02-24,622
2025-03-19,0.6701,rectGeIBkAzEjqw7r,2,2025-03-19,645
2025-03-25,0.6875,rechC8urIV2AN5s7u,2,2025-03-25,651
