date,score,model_id,rank,date_dt,days
2021-12-08,0.571,Gopher (280B),1,2021-12-08,0
2021-12-13,0.713,GLaM (MoE),1,2021-12-13,5
2022-01-27,0.712,text-davinci-001,2,2022-01-27,50
2022-04-04,0.769,PaLM 540B,1,2022-04-04,117
2023-02-24,0.787,LLaMA-33B,2,2023-02-24,443
2023-02-24,0.817,LLaMA-65B,1,2023-02-24,443
2023-04-18,0.867,claude-1.3,1,2023-04-18,496
2023-05-17,0.861,PaLM 2-L,2,2023-05-17,525
2023-05-17,0.817,PaLM 2-M,3,2023-05-17,525
2023-06-13,0.848,gpt-4-0613,3,2023-06-13,552
2023-07-11,0.875,claude-2.0,1,2023-07-11,580
