date,score,model_id,rank,date_dt,days
2021-12-08,0.572,rec1ierxC1o8k7tZX,1,2021-12-08,0
2021-12-13,0.758,recF1EoxtifSVHtII,1,2021-12-13,5
2022-01-27,0.712,recShfp3NCaoaTiRM,2,2022-01-27,50
2022-03-29,0.646,rec6zMMGInyTgmoYM,3,2022-03-29,111
2022-04-04,0.814,recQRtEcEnhW9JjQq,1,2022-04-04,117
2023-02-24,0.86,rec4GzBp6CBydS2Wm,1,2023-02-24,443
2023-02-27,0.838,recdNhsyonuqezvQQ,2,2023-02-27,446
2023-04-18,0.867,recMLFLJPhvFZr9nS,1,2023-04-18,496
2023-05-17,0.861,recuJ50t0Ne2hd19L,2,2023-05-17,525
2023-07-11,0.875,recjpLf0f31YMjXxx,1,2023-07-11,580
2023-07-18,0.876,recgtNZI9vmAkWZp6,1,2023-07-18,587
