date,score,model_id,rank,date_dt,days
2024-02-29,0.2782,reclqXrYxgZTpBab8,1,2024-02-29,0
2024-05-24,0.3707,rec5qoiwKAqRrwXob,1,2024-05-24,85
2024-06-20,0.3837,recOrtz5RizjzMdyj,1,2024-06-20,112
2024-08-06,0.3494,rec919QgwS5y17hFV,3,2024-08-06,159
2024-10-22,0.3872,recOUfsKC9bkcotH7,1,2024-10-22,236
2024-11-20,0.3799,recXAxE8fbzwd4E88,3,2024-11-20,265
2024-12-11,0.3995,rec8kISF1T92Jikk4,1,2024-12-11,286
2024-12-17,0.4525,receX5UgjFSC6bHhJ,1,2024-12-17,292
2025-01-21,0.455,recSV0J0cBAe649lW,1,2025-01-21,327
2025-02-05,0.4325,rec86ciL422mroVEo,3,2025-02-05,342
2025-02-24,0.4823,recSYamjLFTjhxST2,1,2025-02-24,361
2025-03-19,0.4732,rectGeIBkAzEjqw7r,2,2025-03-19,384
2025-03-25,0.5465,rechC8urIV2AN5s7u,1,2025-03-25,390
2025-04-16,0.5166,recdf2Hygkz5XCGlk,3,2025-04-16,412
2025-04-16,0.5179,recrvtjPTqUld84O1,2,2025-04-16,412
2025-06-05,0.5463,recmGCSEixdFEeMjm,2,2025-06-05,462
