date,score,model_id,rank,date_dt,days
2024-06-20,0.33,recOrtz5RizjzMdyj,1,2024-06-20,0
2024-07-18,0.34,recQoEqZTISgXtQIB,1,2024-07-18,28
2024-10-22,0.33,recOUfsKC9bkcotH7,2,2024-10-22,124
2024-11-20,0.4,recXAxE8fbzwd4E88,1,2024-11-20,153
2024-12-17,0.37,receX5UgjFSC6bHhJ,2,2024-12-17,180
2025-02-24,0.39,recSYamjLFTjhxST2,2,2025-02-24,249
2025-02-27,0.45,recirLSEw2XiQuFjQ,1,2025-02-27,252
2025-04-09,0.48,recUAV9rVPbCJKlng,1,2025-04-09,293
2025-04-16,0.52,recFdkH1oECir5L8f,2,2025-04-16,300
2025-04-16,0.575,recdf2Hygkz5XCGlk,1,2025-04-16,300
2025-08-07,0.66,recdH1BK7RYkIrKYh,1,2025-08-07,413
2025-08-07,0.632,recPs1KpCfWyKSaXK,2,2025-08-07,413
