date,score,model_id,rank,date_dt,days
2024-06-20,0.33,claude-3-5-sonnet-20240620,1,2024-06-20,0
2024-07-18,0.34,gpt-4o-mini-2024-07-18,1,2024-07-18,28
2024-10-22,0.33,claude-3-5-sonnet-20241022,2,2024-10-22,124
2024-11-20,0.4,gpt-4o-2024-11-20,1,2024-11-20,153
2024-12-17,0.37,o1-2024-12-17_medium,2,2024-12-17,180
2025-02-24,0.39,claude-3-7-sonnet-20250219,2,2025-02-24,249
2025-02-27,0.45,gpt-4.5-preview-2025-02-27,1,2025-02-27,252
2025-04-09,0.48,gemini-2.5-pro-preview-03-25,1,2025-04-09,293
2025-04-16,0.52,o3-2025-04-16_medium,2,2025-04-16,300
2025-04-16,0.575,o4-mini-2025-04-16_medium,1,2025-04-16,300
2025-08-07,0.632,gpt-5-2025-08-07_medium,2,2025-08-07,413
2025-08-07,0.66,gpt-5-2025-08-07_high,1,2025-08-07,413
2025-11-18,0.91,gemini-3-pro-preview,1,2025-11-18,516
