date,score,model_id,rank,date_dt,days
2024-02-15,0.3707,Gemini 1.5 Pro,1,2024-02-15,0
2024-06-01,0.3837,Claude 3.5 Sonnet (June 2024),1,2024-06-01,107
2024-08-01,0.3494,GPT-4o (August 2024),3,2024-08-01,168
2024-10-01,0.3872,Claude 3.5 Sonnet (October 2024),1,2024-10-01,229
2024-11-01,0.3799,ChatGPT-4o-latest (November 2024),3,2024-11-01,260
2024-12-01,0.4525,o1 (December 2024),1,2024-12-01,290
2024-12-11,0.3995,Gemini 2.0 Flash Experimental,2,2024-12-11,300
2024-12-19,0.455,Gemini 2.0 Flash Thinking Experimental,1,2024-12-19,308
2025-02-01,0.4302,Claude 3.7 Sonnet (February 2025),3,2025-02-01,352
2025-02-05,0.4325,Gemini 2.0 Pro Experimental (Feb 2025),3,2025-02-05,356
2025-02-24,0.4822999999999999,Claude 3.7 Sonnet Thinking (Feb 2025),1,2025-02-24,375
2025-03-01,0.5465,Gemini 2.5 Pro Experimental (March 2025),1,2025-03-01,380
2025-03-01,0.4732,o1 Pro (March 2025),3,2025-03-01,380
2025-04-01,0.5166,o4-mini (medium) (April 2025),3,2025-04-01,411
2025-04-01,0.5179,o4-mini (high) (April 2025),2,2025-04-01,411
2025-06-05,0.5463,gemini-2.5-pro-preview-06-05,2,2025-06-05,476
2025-10-06,0.5239,gpt-5-pro-2025-10-06,3,2025-10-06,599
