date,score,model_id,rank,date_dt,days
2023-12-11,0.524,Mixtral 8x7b,1,2023-12-11,0
2023-12-12,0.698,Gemini 1.0 Pro,1,2023-12-12,1
2024-02-24,0.7879999999999999,Mistral Large 2402,1,2024-02-24,75
2024-02-29,0.8190000000000001,Claude 3.0 Opus,1,2024-02-29,80
2024-02-29,0.767,Claude 3.0 Sonnet,3,2024-02-29,80
2024-03-07,0.773,Claude 3.0 Haiku,3,2024-03-07,87
2024-04-09,0.8270000000000001,GPT 4 Turbo,1,2024-04-09,120
2024-05-13,0.8290000000000001,GPT 4o,1,2024-05-13,154
2024-06-20,0.848,Claude 3.5 Sonnet,1,2024-06-20,192
2024-07-23,0.843,Llama 3.1 405b,2,2024-07-23,225
2024-07-23,0.841,Llama 3.1 405b (Bio Llama),3,2024-07-23,225
2024-09-12,0.85,o1 Preview,1,2024-09-12,276
2024-12-05,0.863,o1,1,2024-12-05,360
2025-01-20,0.863,DeepSeek R1,1,2025-01-20,406
2025-01-31,0.852,o3 Mini,2,2025-01-31,417
2025-02-19,0.86,Claude 3.7 Sonnet V1,2,2025-02-19,436
2025-02-19,0.863,Claude 3.7 Sonnet V1 - Reasoning 16000,1,2025-02-19,436
2025-02-27,0.867,GPT 4.5 Preview,1,2025-02-27,444
2025-04-05,0.866,Llama 4 Maverick,2,2025-04-05,481
2025-04-16,0.875,o3,1,2025-04-16,492
2025-04-16,0.873,o4 Mini,2,2025-04-16,492
