date,score,model_id,rank,date_dt,days
2023-09-27,0.243,Mistral 7b Instruct,1,2023-09-27,0
2023-12-11,0.441,Mixtral 8x7b,1,2023-12-11,75
2023-12-12,0.537,Gemini 1.0 Pro,1,2023-12-12,76
2024-01-25,0.49,gpt-3.5-turbo-0125,2,2024-01-25,120
2024-02-24,0.564,Mistral Large 2402,1,2024-02-24,150
2024-02-29,0.574,Claude 3.0 Opus,1,2024-02-29,155
2024-03-07,0.5660000000000001,Claude 3.0 Haiku,2,2024-03-07,162
2024-04-09,0.652,GPT 4 Turbo,1,2024-04-09,195
2024-05-13,0.684,GPT 4o,1,2024-05-13,229
2024-05-23,0.713,Gemini 1.5 Pro,1,2024-05-23,239
2024-06-20,0.672,Claude 3.5 Sonnet,3,2024-06-20,267
2024-07-23,0.716,Llama 3.1 405b,1,2024-07-23,300
2024-07-23,0.691,Llama 3.1 405b (Bio Llama),3,2024-07-23,300
2024-09-12,0.775,o1 Preview,1,2024-09-12,351
2024-12-05,0.752,o1,2,2024-12-05,435
2025-01-20,0.787,DeepSeek R1,1,2025-01-20,481
2025-02-19,0.755,Claude 3.7 Sonnet V1 - Reasoning 16000,3,2025-02-19,511
2025-04-05,0.775,Llama 4 Maverick,2,2025-04-05,556
2025-04-16,0.809,o3,1,2025-04-16,567
