date,score,model_id,rank,date_dt,days
2023-06-13,0.114,recv4ey6euOnrKk4u,1,2023-06-13,0
2024-02-29,0.225,reclqXrYxgZTpBab8,1,2024-02-29,261
2024-02-29,0.092,reco9s5eYmRMVghqF,3,2024-02-29,261
2024-04-09,0.178,recV9JAYMPmadenWm,2,2024-04-09,301
2024-06-20,0.301,recOrtz5RizjzMdyj,1,2024-06-20,373
2024-07-23,0.202,recILmCZY521YFbeS,3,2024-07-23,406
2024-09-05,0.362,recaAxeiHRoJknZjo,1,2024-09-05,450
2024-09-12,0.354,recFBJ7nvDJdSa72l,3,2024-09-12,457
2024-09-12,0.461,recldkOShqz5UyF6y,1,2024-09-12,457
2024-10-22,0.397841228070175,recOUfsKC9bkcotH7,2,2024-10-22,497
2024-12-17,0.436,rec35V8M8ztYVkdrn,2,2024-12-17,553
2025-01-31,0.413,recRZCrSqXDNzFtUh,3,2025-01-31,598
2025-04-16,0.491654385964912,recrvtjPTqUld84O1,2,2025-04-16,673
2025-04-16,0.497558354218881,recwnrbrLEV1CEWNU,1,2025-04-16,673
2025-06-10,0.539465204678363,recAFpg6FQiOzXWJy,1,2025-06-10,728
2025-06-17,0.503046315789474,recGv4sfgFwd5zBaz,2,2025-06-17,735
2025-08-07,0.563,recdH1BK7RYkIrKYh,1,2025-08-07,786
